kind,count,percentage
Program,211,0.8860706336874816
FunctionDeclaration,9,0.03779448200562718
Identifier,8871,37.25276109687986
BlockStatement,890,3.7374543316675766
TryStatement,11,0.04619325578465544
ReturnStatement,300,1.2598160668542393
CallExpression,1776,7.458111115777097
MemberExpression,2533,10.637046991139293
NewExpression,86,0.36114727249821527
Literal,1572,6.601436190316214
CatchClause,11,0.04619325578465544
VariableDeclaration,888,3.7290555578885485
VariableDeclarator,888,3.7290555578885485
ExpressionStatement,1033,4.3379666568680975
ArrowFunctionExpression,504,2.116490992315122
TemplateLiteral,203,0.8524755385713686
TemplateElement,459,1.927518582286986
ImportDeclaration,269,1.1296350732793012
ImportDefaultSpecifier,256,1.0750430437156175
AwaitExpression,23,0.09658589845882501
ArrayExpression,131,0.5501196825263511
ObjectExpression,156,0.6551043547642045
Property,265,1.1128375257212446
BinaryExpression,345,1.448788476882375
ObjectPattern,5,0.020996934447570656
ClassDeclaration,68,0.2855583084869609
ClassBody,68,0.2855583084869609
MethodDefinition,222,0.9322638894721371
FunctionExpression,222,0.9322638894721371
AssignmentExpression,265,1.1128375257212446
ThisExpression,499,2.095494057867551
ExportDefaultDeclaration,73,0.30655524293453157
Super,22,0.09238651156931088
ForOfStatement,43,0.18057363624910763
UnaryExpression,73,0.30655524293453157
LogicalExpression,54,0.22676689203376307
ImportExpression,4,0.016797547558056524
SpreadElement,32,0.1343803804644522
IfStatement,181,0.7600890270020577
ConditionalExpression,10,0.04199386889514131
ThrowStatement,9,0.03779448200562718
RestElement,20,0.08398773779028262
ExportNamedDeclaration,24,0.10078528534833914
ForStatement,13,0.054592029563683704
ImportSpecifier,33,0.13857976735396632
ArrayPattern,52,0.21836811825473482
WhileStatement,16,0.0671901902322261
ContinueStatement,3,0.012598160668542392
AssignmentPattern,13,0.054592029563683704
ForInStatement,11,0.04619325578465544
SwitchStatement,5,0.020996934447570656
SwitchCase,31,0.13018099357493806
BreakStatement,34,0.14277915424348045
UpdateExpression,1,0.004199386889514131
DoWhileStatement,1,0.004199386889514131
YieldExpression,10,0.04199386889514131
ExportSpecifier,6,0.025196321337084784
